Course Title,Level,Slug,Lesson #,Lesson Title,Duration (mins),Lesson Description
"Management Case Study (MCS)",management,mcs-management-case-study,6,"Management Level Exam Techniques",45,"Exam techniques for management level case studies."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,1,"Operational Case Study Approach",55,"Case study approach including scenario analysis and response planning."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,2,"Integrating BA2 Concepts",50,"BA2 management accounting in case study scenarios."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,3,"Integrating BA3 Concepts",50,"BA3 financial accounting in case study scenarios."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,4,"Integrating BA4 Concepts",50,"BA4 ethics, governance, law in case study scenarios."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,5,"Practical Business Applications",45,"Accounting and business knowledge in practical scenarios."
"Operational Case Study (OCS)",operational,ocs-operational-case-study,6,"Operational Level Exam Techniques",45,"Exam techniques for operational level case studies."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,1,"Strategic Case Study Approach",60,"Strategic case study methodology and analysis."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,2,"Integrating E3 Concepts",55,"E3 strategic management in case study scenarios."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,3,"Integrating F3 Concepts",55,"F3 financial strategy in case study scenarios."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,4,"Integrating P3 Concepts",55,"P3 risk management in case study scenarios."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,5,"Strategic Analysis and Recommendations",50,"Strategic analysis and recommendation formulation."
"Strategic Case Study (SCS)",strategic,scs-strategic-case-study,6,"Strategic Level Exam Techniques",45,"Exam techniques for strategic level case studies."
